"ID","CRIM","ZN","INDUS","CHAS","NOX","RM","AGE","DIS","RAD","TAX","PT","B","LSTAT","MV","nodes","beta_(Intercept)","beta_B","beta_LSTAT"
1,0.00632,18,2.309999943,"no",0.537999988,43.23062249,65.19999695,4.090000153,1,296,15.30000019,396.8999939,1.605429895,24,8,48.734445269338,0.00357622007066964,-11.7095635771632
2,0.027310001,0,7.070000172,"no",0.469000012,41.22924105,78.90000153,4.967100143,2,242,17.79999924,396.8999939,2.212660423,21.60000038,8,48.734445269338,0.00357622007066964,-11.7095635771632
3,0.02729,0,7.070000172,"no",0.469000012,51.62422418,61.09999847,4.967100143,2,242,17.79999924,392.8299866,1.393766428,34.70000076,8,48.734445269338,0.00357622007066964,-11.7095635771632
4,0.032370001,0,2.180000067,"no",0.458000004,48.97200603,45.79999924,6.062200069,3,222,18.70000076,394.6300049,1.078409601,33.40000153,8,48.734445269338,0.00357622007066964,-11.7095635771632
5,0.069049999,0,2.180000067,"no",0.458000004,51.07960666,54.20000076,6.062200069,3,222,18.70000076,396.8999939,1.673351224,36.20000076,8,48.734445269338,0.00357622007066964,-11.7095635771632
6,0.029850001,0,2.180000067,"no",0.458000004,41.34489779,58.70000076,6.062200069,3,222,18.70000076,394.1199951,1.650579863,28.70000076,8,48.734445269338,0.00357622007066964,-11.7095635771632
7,0.088289998,12.5,7.869999886,"no",0.523999989,36.14414501,66.59999847,5.560500145,5,311,15.19999981,395.6000061,2.52011293,22.89999962,8,48.734445269338,0.00357622007066964,-11.7095635771632
8,0.144549996,12.5,7.869999886,"no",0.523999989,38.09358315,96.09999847,5.950500011,5,311,15.19999981,396.8999939,2.952302696,27.10000038,8,48.734445269338,0.00357622007066964,-11.7095635771632
9,0.211239994,12.5,7.869999886,"no",0.523999989,31.70816147,100,6.082099915,5,311,15.19999981,386.6300049,3.398861332,16.5,8,48.734445269338,0.00357622007066964,-11.7095635771632
10,0.170039997,12.5,7.869999886,"no",0.523999989,36.04801825,85.90000153,6.592100143,5,311,15.19999981,386.7099915,2.839078486,18.89999962,8,48.734445269338,0.00357622007066964,-11.7095635771632
11,0.224889994,12.5,7.869999886,"no",0.523999989,40.66612715,94.30000305,6.346700191,5,311,15.19999981,392.519989,3.01798292,15,8,48.734445269338,0.00357622007066964,-11.7095635771632
12,0.117470004,12.5,7.869999886,"no",0.523999989,36.1080789,82.90000153,6.226699829,5,311,15.19999981,396.8999939,2.585505883,18.89999962,8,48.734445269338,0.00357622007066964,-11.7095635771632
13,0.093780003,12.5,7.869999886,"no",0.523999989,34.68032028,39,5.450900078,5,311,15.19999981,390.5,2.754297455,21.70000076,8,48.734445269338,0.00357622007066964,-11.7095635771632
